hhNum,village,sex,age,educ,hhSize,landOwned,landCultivated,fo,income
1,A,male,68.705266572535,3,6,9.8,3.7,0,278.0
2,A,male,82.6340696276166,1,5,7.1,7.0,1,936.0
3,A,male,24.3767929612659,6,5,9.1,5.4,0,584.0
4,A,male,75.3880732678808,1,5,7.6,5.6,0,567.0
5,A,male,71.9477223278955,1,5,13.1,3.7,0,181.0
6,A,male,44.421457902994,4,5,4.3,3.5,0,507.0
7,A,male,40.6214283346198,3,5,6.2,4.3,0,231.0
8,A,male,32.5259543969296,5,8,7.0,5.4,0,1675.0
9,A,male,56.579255735036,3,7,5.0,5.0,1,1260.0
10,A,male,77.6116425693035,0,4,4.9,3.7,0,138.0
11,A,male,53.9611300355755,4,4,7.8,4.2,0,308.0
12,A,male,57.7392713478766,3,4,7.4,5.9,0,735.0
13,A,male,62.9385194075294,1,2,2.6,3.1,0,58.0
14,A,male,53.9729022663087,3,4,12.9,7.7,0,954.0
15,A,male,52.6496313600801,3,4,8.9,4.7,0,365.0
16,A,male,20.0665917401202,5,3,25.2,4.9,0,172.0
17,A,male,22.1488590058871,8,6,10.9,7.9,1,2459.0
18,B,male,80.3371450472623,2,2,6.4,3.9,0,105.0
19,B,male,69.7728455541655,2,6,30.4,17.8,0,2532.0
20,B,male,32.2713206624612,5,5,31.0,11.4,0,1030.0
21,B,male,61.9172590253875,1,6,4.5,4.7,0,784.0
22,B,male,62.1486010365188,1,2,9.8,5.0,0,137.0
23,B,female,45.0867482549511,3,2,7.1,6.0,0,444.0
24,B,female,72.6121186842211,0,4,8.6,3.7,0,87.0
25,B,female,55.1035455656238,5,5,8.8,5.0,0,298.0
26,B,male,77.4187550018542,5,4,4.4,3.5,0,264.0
27,B,male,55.5187231791206,4,7,9.0,6.9,0,1876.0
28,B,male,78.7991753667593,2,6,18.2,8.0,1,591.0
29,B,male,57.7724502230994,5,7,7.3,4.3,1,551.0
30,B,male,46.9486009646207,4,4,7.3,3.4,0,181.0
31,B,male,81.672631317284,1,4,15.4,7.9,1,440.0
32,B,male,65.7965016285889,1,4,12.1,7.8,0,522.0
33,B,male,46.2781569338404,4,4,3.7,4.2,1,869.0
34,B,male,20.2120295255445,4,4,8.8,3.7,0,251.0
35,B,male,56.404449462425,2,8,17.4,10.9,0,3363.0
36,B,male,51.3441879041493,4,5,15.5,4.1,0,311.0
37,B,male,76.992485400755,2,2,9.6,8.1,0,619.0
38,B,male,72.6482774014585,1,6,11.1,5.1,0,360.0
39,B,male,75.3705985168926,1,4,4.6,3.1,0,146.0
40,B,female,43.2811325527728,3,5,9.1,4.9,0,212.0
41,B,male,76.680694247596,0,6,5.1,3.6,0,295.0
42,B,female,28.9883193154819,6,4,6.4,5.7,1,797.0
43,C,female,37.5995702003129,4,3,12.3,9.7,1,711.0
44,C,male,63.0025404174812,1,5,4.7,4.6,0,236.0
45,C,male,83.5073160687461,3,5,8.9,4.0,0,222.0
46,C,male,57.4608226190321,3,9,9.7,6.5,0,2638.0
47,C,female,53.7549452492967,5,9,8.1,5.1,1,1295.0
48,C,male,23.0116268415004,8,3,18.9,7.2,0,525.0
49,C,male,82.9565650019795,2,5,4.9,4.4,0,786.0
50,C,female,26.9356504860334,7,4,10.5,3.9,1,219.0
51,C,male,24.83197786659,6,4,7.6,6.3,1,927.0
52,C,male,77.1304315836169,2,4,7.0,3.5,0,179.0
53,C,male,52.5524615631439,2,6,9.8,9.1,0,1761.0
54,C,female,41.2746698223054,1,4,4.9,2.5,0,67.0
55,D,male,78.026085279882,1,4,4.3,3.9,0,214.0
56,D,male,21.1101274532266,4,10,6.3,5.5,0,2341.0
57,D,male,34.6571600288153,4,6,18.2,5.7,0,432.0
58,D,male,64.3083631726913,1,4,8.1,6.8,0,819.0
59,D,male,33.9040159392171,3,7,9.2,4.3,0,647.0
60,D,male,40.0206428170204,4,4,7.2,5.1,0,399.0
61,D,male,30.4829319058917,6,5,9.8,5.2,0,321.0
62,D,female,71.89435252361,1,3,5.1,4.8,0,217.0
63,D,male,28.6546158264391,2,3,13.7,7.2,0,451.0
64,D,male,73.2993478490971,0,7,10.4,6.5,0,809.0
65,D,male,40.8458566893823,6,3,5.4,5.4,0,736.0
66,D,male,43.695179598406,4,7,8.1,6.3,0,1614.0
67,D,male,60.5631979703903,4,4,11.1,8.5,0,1300.0
68,D,female,25.3778270399198,2,2,10.3,6.4,0,252.0
69,D,male,20.4515852108598,3,6,16.0,8.5,0,1309.0
70,D,male,84.5409555020742,0,4,5.9,2.8,0,85.0
71,D,male,57.5399638139643,4,2,13.4,4.5,0,143.0
72,D,male,70.6003222987056,3,6,12.9,2.8,0,193.0
73,D,male,77.8651440916583,5,2,7.3,6.1,0,685.0
74,D,male,68.8211199361831,2,5,5.0,4.6,0,355.0
75,E,female,83.6274461881258,0,4,4.8,4.9,0,312.0
76,E,male,21.9137064837851,3,5,9.8,4.6,0,233.0
77,E,male,78.6244583907537,2,6,7.6,4.1,0,465.0
78,E,male,76.1230537272058,2,3,18.5,10.4,0,654.0
79,E,male,70.1769010303542,1,3,10.2,3.9,0,102.0
80,E,male,43.8698835126124,5,3,6.6,3.6,0,204.0
81,E,female,21.7791312132031,8,6,4.9,4.9,1,981.0
82,E,male,43.0511313891038,4,5,6.0,5.0,1,850.0
83,E,male,37.0675838063471,5,5,9.3,7.4,1,1323.0
84,E,male,75.1308537274599,4,4,6.4,6.2,1,969.0
85,E,male,42.9185130218975,7,5,10.1,5.3,1,593.0
86,E,male,39.0955341798253,5,4,6.8,6.2,0,1209.0
87,E,female,69.1029324010015,0,6,7.5,6.0,0,483.0
88,E,male,74.7590852053836,3,7,5.6,3.7,1,489.0
89,E,male,49.2228230317123,3,6,19.7,7.0,0,780.0
90,E,male,67.1556898546405,2,5,9.2,3.8,0,238.0
91,E,male,25.8691899785772,4,4,8.8,6.5,0,926.0
92,E,male,33.5188897298649,3,3,3.7,4.2,0,244.0
93,E,male,81.9607823505066,1,5,10.8,6.8,0,513.0
94,E,male,68.6344777219929,5,3,4.9,3.4,0,134.0
95,E,male,73.0510552953929,1,6,5.2,4.2,0,348.0
96,E,male,46.5732887149788,4,4,12.2,8.7,1,1014.0
97,E,male,58.1933405450545,1,5,6.4,4.8,0,462.0
98,E,male,71.7223548144102,1,3,3.6,2.3,0,72.0
99,E,male,77.6349709271453,2,4,18.4,7.4,0,408.0
100,E,male,44.4226451590657,3,7,2.8,2.7,0,230.0
101,E,male,24.96125756111,3,6,10.3,4.9,0,547.0
102,F,male,60.2990800482221,0,2,12.8,7.5,1,272.0
103,F,male,68.2119903415442,4,7,5.9,3.6,1,399.0
104,F,male,24.6349781835452,5,3,9.7,5.9,0,529.0
105,F,male,38.8341623395681,2,5,9.7,5.2,0,437.0
106,F,male,59.5611023823731,3,5,12.9,8.9,1,1023.0
107,F,male,68.6935158246197,2,5,9.9,6.0,1,449.0
108,F,male,79.5257707810961,2,6,7.0,3.8,0,255.0
109,F,female,50.399533375632,4,5,12.2,8.2,0,1223.0
110,F,male,56.4298847652972,3,10,11.5,4.3,0,709.0
111,F,male,67.6169428415596,3,9,5.1,3.2,0,409.0
112,F,male,75.5915300128981,2,4,4.2,4.2,1,404.0
113,F,male,79.00366929546,1,5,8.5,4.9,0,335.0
114,F,male,22.7212268738076,4,4,6.9,5.9,1,487.0
115,F,female,52.1919480706565,3,5,5.0,4.0,0,447.0
116,F,male,42.1359550207853,3,4,8.2,8.1,0,1194.0
117,F,female,74.8067041146569,3,2,4.3,4.6,0,325.0
118,F,male,72.2247208128683,1,2,8.5,4.2,0,74.0
119,F,male,26.7438610009849,2,3,5.9,4.9,0,386.0
120,F,male,66.0373126296327,5,6,12.4,3.1,0,276.0
121,F,male,34.527744629886,3,5,25.3,8.8,0,682.0
122,F,male,23.9471455789171,5,7,5.2,4.4,1,1064.0
123,F,male,80.7526457174681,1,5,13.0,5.5,0,388.0
124,G,male,29.3730764598586,5,3,11.7,8.3,1,641.0
125,G,female,61.7057851017453,2,5,7.6,4.1,1,247.0
126,G,female,30.4521712460555,3,7,6.4,4.7,1,265.0
127,G,male,20.324884606991,9,6,16.7,10.0,1,1801.0
128,G,male,53.4067138587125,3,5,3.2,3.3,0,500.0
129,G,female,24.6943409563974,7,4,5.9,4.0,0,226.0
130,G,male,37.6781548396684,7,6,4.1,2.7,0,376.0
131,G,female,46.7487034676597,4,7,15.3,6.4,0,621.0
132,G,male,57.7603561957367,2,7,7.2,6.1,1,915.0
133,G,male,72.2418323536403,0,3,6.2,4.8,0,183.0
134,G,male,32.3316837847233,7,4,36.8,12.8,1,755.0
135,G,male,49.3220283333212,3,3,7.7,5.2,0,416.0
136,G,male,48.5774455154315,2,6,6.4,4.2,0,544.0
137,G,male,67.4273520414717,2,3,9.1,6.5,0,421.0
138,H,female,66.1738174967468,1,7,3.9,2.4,0,146.0
139,H,male,73.8606506059878,1,6,9.9,5.2,1,529.0
140,H,male,77.5133639792912,1,8,7.5,5.0,0,621.0
141,H,male,81.8745418833569,0,5,9.8,7.1,0,596.0
142,H,female,55.3407036424614,1,8,5.0,3.5,0,327.0
143,H,male,53.4741605636664,4,6,4.9,4.9,1,1205.0
144,H,male,30.2660848498344,4,7,5.7,4.2,0,683.0
145,H,male,50.6319229584187,2,4,5.5,5.5,0,535.0
146,H,male,35.752172568813,9,3,14.6,4.5,0,211.0
147,H,male,21.6255220430903,5,4,16.8,11.7,1,1402.0
148,H,male,60.8968336456455,2,6,7.3,5.0,1,676.0
149,H,male,54.6110203266144,4,4,6.7,5.4,0,423.0
150,I,male,28.2468342953362,8,4,6.8,3.7,0,311.0
151,I,male,37.7249772711657,3,2,8.1,5.6,0,407.0
152,I,male,57.4800192839466,3,5,8.3,5.8,0,928.0
153,I,male,29.8917088853195,6,3,9.0,3.6,0,173.0
154,I,male,25.3558733058162,4,7,5.6,3.9,0,437.0
155,I,male,47.2884640293196,1,3,5.3,3.8,0,230.0
156,I,female,42.4802633384243,5,6,13.9,4.7,0,331.0
157,I,male,74.7656136308797,0,7,6.1,5.6,0,651.0
158,I,female,36.1687432616018,3,2,9.1,8.7,1,523.0
159,I,male,20.5275364839472,7,4,7.7,4.9,0,337.0
160,I,male,75.9183696187101,3,5,5.1,5.1,0,862.0
161,I,male,41.0828054393642,6,6,10.4,4.4,0,519.0
162,I,male,60.6980655333027,1,4,8.6,5.3,1,327.0
163,I,male,55.0641330773942,2,8,15.4,10.6,0,3211.0
164,I,male,43.845336550381,5,4,8.3,4.5,0,230.0
165,I,male,31.2676189956255,6,5,6.8,6.8,0,1358.0
166,I,female,47.3100790171884,4,4,9.0,3.6,0,201.0
167,I,male,60.6310575050302,1,5,4.6,3.4,0,178.0
168,I,male,53.3755951826461,3,5,5.4,4.0,0,244.0
169,I,male,62.5350082549267,2,2,10.0,6.8,1,341.0
170,I,male,67.1378214671277,3,6,6.8,4.8,0,1270.0
171,I,male,51.1303096413612,0,4,7.6,4.2,0,176.0
172,I,male,44.3741366337053,2,6,7.5,6.6,1,1395.0
173,I,male,19.4510115836747,8,5,5.8,3.9,1,308.0
174,I,female,19.2431590207852,3,5,3.2,3.8,1,526.0
175,J,male,84.6658050492406,3,5,9.3,7.1,0,958.0
176,J,male,26.1205340912566,4,4,11.3,5.6,0,508.0
177,J,male,46.6321644517593,6,4,4.4,4.1,0,254.0
178,J,male,66.3803800763562,4,5,16.0,5.6,0,436.0
179,J,male,68.0075827282853,2,11,9.5,6.4,1,3955.0
180,J,male,76.5519223650917,2,4,15.0,11.0,0,1259.0
181,J,male,59.1192854293622,3,4,5.1,4.9,0,338.0
182,J,male,68.9094211864285,6,2,8.5,6.7,1,601.0
183,J,male,74.91792567214,0,5,7.5,6.1,0,597.0
184,J,female,59.4434568323195,1,5,11.4,5.1,0,323.0
185,J,female,71.3527950732969,3,6,6.0,3.7,0,237.0
186,J,male,20.5084091080353,6,8,7.9,6.7,1,3691.0
187,J,male,46.51636027731,3,5,3.5,2.9,0,142.0
188,J,male,76.7422375725582,7,3,5.5,5.2,1,484.0
189,J,male,61.7249030270614,1,4,8.4,7.4,0,567.0
190,J,male,80.0156131265685,1,7,5.7,3.3,0,285.0
191,J,male,30.3668563379906,2,7,7.7,5.2,0,908.0
192,J,male,39.8436440830119,6,7,6.3,4.5,0,513.0
193,J,male,72.0809144307859,1,8,10.5,5.0,1,609.0
194,J,male,84.2715851385146,2,6,13.8,3.7,1,256.0
195,J,male,40.2774464236572,2,5,5.4,4.6,0,336.0
196,K,female,19.0786474742927,10,3,6.8,5.1,0,610.0
197,K,female,84.4832608746365,0,6,15.7,10.6,0,1454.0
198,K,female,28.7912578578107,5,3,3.0,3.6,0,167.0
199,K,male,22.2580436142161,3,5,6.8,5.8,0,367.0
200,K,female,58.4253298528492,5,8,21.2,7.2,0,1038.0
201,K,male,40.2076772693545,8,7,22.6,7.7,0,1281.0
202,K,male,53.8433140213601,0,6,8.5,3.9,0,233.0
203,K,male,71.4978533443063,2,3,5.3,3.9,0,171.0
204,K,male,23.5495513905771,4,5,8.5,8.1,0,2033.0
205,K,male,64.8713660226204,4,10,5.8,3.5,0,705.0
206,K,male,81.6096794847399,1,5,15.8,7.5,0,653.0
207,K,female,37.3327749473974,0,4,5.4,5.0,0,403.0
208,K,male,35.4608346256427,3,3,9.4,7.8,0,722.0
209,K,male,29.5227416888811,4,3,10.6,5.6,0,438.0
210,K,male,23.7275836970657,6,7,5.6,4.5,0,666.0
211,K,male,55.7908804849721,2,4,11.8,6.4,0,598.0
212,K,male,51.3292454057373,1,8,5.6,3.6,0,441.0
213,K,female,51.6232958850451,1,5,10.6,6.0,0,366.0
214,K,male,77.6325246212073,2,5,13.3,5.2,0,312.0
215,K,male,21.4224877473898,9,8,5.0,4.0,0,1094.0
216,K,male,32.4470916949213,4,3,13.4,8.4,0,620.0
217,L,male,52.9095551846549,1,7,6.3,4.3,0,323.0
218,L,male,34.5984326740727,3,4,9.1,4.8,0,404.0
219,L,male,56.9787542107515,3,5,8.7,6.8,0,1275.0
220,L,male,50.829022157006,3,4,6.5,4.7,0,243.0
221,L,male,56.5772774564102,4,3,8.9,4.2,0,156.0
222,L,male,28.5140527966432,4,6,4.5,4.2,0,1355.0
223,L,male,28.6167783299461,5,3,7.4,6.2,0,708.0
224,L,male,46.2106854575686,1,6,11.7,6.0,0,652.0
225,L,male,64.0786786423996,1,5,3.0,3.0,0,160.0
226,L,male,62.1262361477129,3,3,4.0,4.2,0,174.0
227,L,male,79.4550979807973,2,10,4.6,3.5,1,1533.0
228,L,male,72.6654667444527,2,5,3.8,2.3,0,130.0
229,L,male,63.608740081545,3,2,9.6,5.4,0,181.0
230,L,female,72.2949412139133,0,8,5.0,4.8,0,976.0
231,L,male,27.4522516941652,3,7,3.0,3.6,0,418.0
232,L,male,35.5513832429424,7,5,5.9,3.2,0,265.0
233,L,female,40.8821014454588,1,4,6.6,6.6,0,727.0
234,L,male,45.879773136694,2,6,11.8,4.7,0,273.0
235,L,male,60.9342600796372,7,8,4.8,4.6,0,2961.0
236,L,male,72.3683949634433,2,7,13.7,9.4,0,2828.0
237,M,male,36.0808792896569,3,3,9.5,3.0,0,86.0
238,M,male,73.0848312331364,2,9,9.4,9.2,1,2573.0
239,M,male,20.0215261513367,2,5,5.3,4.5,0,449.0
240,M,male,62.1904505952261,1,2,20.1,7.2,0,215.0
